DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID,Version
2013-02-02T02:17:20.200+00:00,38.816,-122.811,3.5,1.7,Md,,40,,,nc,nc71933566,1359772329750
2013-02-02T02:16:27.900+00:00,33.505,-116.559,15.5,1.2,Ml,,72,,,ci,ci15280313,1359771572232
2013-02-02T02:13:53.000+00:00,61.776,-149.500,16.8,2.2,Ml,,58,,,ak,ak10649209,1359772011926
2013-02-02T02:04:32.000+00:00,63.518,-147.357,5.9,1.5,Ml,,83,,,ak,ak10649203,1359771089776
2013-02-02T01:50:52.300+00:00,38.804,-122.810,1.6,2.2,Md,,79,,,nc,nc71933561,1359800237670
2013-02-02T01:25:01.800+00:00,38.748,-122.715,1.8,1.9,Md,,65,,,nc,nc71933556,1359768402787
2013-02-02T01:20:41.100+00:00,-10.828,165.238,35.2,4.9,Mb,,65,,,us,usc000ezxv,1359771338001
2013-02-02T01:19:36.040+00:00,-6.960,105.401,38.7,5.1,mb,,62,,,us,usc000ezxz,1359770879317
2013-02-02T01:18:26.700+00:00,36.562,-121.102,6.4,1.8,Md,,83,,,nc,nc71933551,1359769689663
2013-02-02T01:15:49.750+00:00,-11.146,165.387,26.9,5.0,mb,,103,,,us,usc000ezxt,1359769491239
2013-02-02T01:09:53.000+00:00,64.776,-147.564,17.0,1.2,Ml,,,,,ak,ak10649184,1359767799645
2013-02-02T00:52:30.800+00:00,38.820,-122.776,1.1,1.1,Md,,101,,,nc,nc71933536,1359766445697
2013-02-02T00:51:29.000+00:00,62.776,-148.941,56.1,1.5,Ml,,104,,,ak,ak10649176,1359767324163
2013-02-02T00:31:22.600+00:00,33.636,-116.734,17.3,1.0,Ml,,83,,,ci,ci15280281,1359765274511
2013-02-02T00:07:16.000+00:00,64.997,-147.436,0.1,1.4,Ml,,97,,,ak,ak10649167,1359764335648
2013-02-01T23:58:08.300+00:00,33.796,-116.079,2.2,1.3,Ml,,104,,,ci,ci15280265,1359763275512
2013-02-01T23:48:36.100+00:00,33.793,-116.075,1.5,1.3,Ml,,108,,,ci,ci15280257,1359762674298
2013-02-01T23:18:46.300+00:00,38.786,-122.727,2.2,1.2,Md,,68,,,nc,nc71933491,1359764529768
2013-02-01T23:16:23.000+00:00,63.932,-148.857,0.2,2.3,Ml,,50,,,ak,ak10649155,1359761010005
2013-02-01T23:16:04.530+00:00,13.787,144.592,153.9,4.4,mb,,73,,,us,usc000ezxg,1359774994087
2013-02-01T22:59:52.000+00:00,63.427,-148.145,135.6,1.4,Ml,,72,,,ak,ak10648994,1359760547378
2013-02-01T22:52:30.200+00:00,33.793,-116.082,1.8,1.1,Ml,,58,,,ci,ci15280241,1359759312533
2013-02-01T22:51:25.800+00:00,38.778,-122.772,1.6,1.2,Md,,86,,,nc,nc71933471,1359760091131
2013-02-01T22:48:12.700+00:00,33.187,-116.472,22.0,1.4,Ml,,133,,,ci,ci15280233,1359759067032
2013-02-01T22:37:48.300+00:00,33.790,-116.069,4.1,1.2,Ml,,108,,,ci,ci15280225,1359758410687
2013-02-01T22:26:30.610+00:00,-11.148,165.339,9.8,4.9,mb,,107,,,us,usc000ezvd,1359764334664
2013-02-01T22:22:59.400+00:00,33.054,-116.438,8.4,1.3,Ml,,140,,,ci,ci15280209,1359757521431
2013-02-01T22:18:35.340+00:00,-11.134,165.361,22.3,5.7,mb,,75,,,us,usc000ezw4,1359769276467
2013-02-01T22:16:36.020+00:00,-10.926,165.450,19.9,6.3,Mww,,29,,,us,usc000ezv6,1359778720587
2013-02-01T22:09:15.300+00:00,33.795,-116.076,5.0,1.3,Ml,,108,,,ci,ci15280193,1359756727254
2013-02-01T22:04:31.700+00:00,33.444,-117.576,20.2,1.9,Ml,,176,,,ci,ci15280185,1359756436658
2013-02-01T22:01:03.100+00:00,37.325,-122.104,0.6,1.8,Md,,50,,,nc,nc71933426,1359757150451
2013-02-01T21:59:22.000+00:00,52.133,-173.450,30.7,1.8,Ml,,198,,,ak,ak10648956,1359770796409
2013-02-01T21:50:23.700+00:00,33.999,-117.200,1.0,1.6,Ml,,108,,,ci,ci15280169,1359755584930
2013-02-01T21:41:23.435+00:00,39.095,-118.152,8.8,1.8,ml,,186,,,nn,nn00401533,1359758980347
2013-02-01T21:25:41.000+00:00,61.758,-148.394,15.9,1.1,Ml,,119,,,ak,ak10648939,1359757195375
2013-02-01T21:22:42.900+00:00,33.728,-116.677,17.6,1.9,Ml,,115,,,ci,ci15280161,1359753906527
2013-02-01T21:11:14.000+00:00,40.441,-121.495,2.5,1.9,Md,,155,,,nc,nc71933381,1359756489151
2013-02-01T21:04:14.900+00:00,39.618,-121.548,,2.3,Md,,169,,,nc,nc71933376,1359772373028
2013-02-01T21:03:50.000+00:00,65.515,-144.520,12.7,4.2,Ml,,187,,,ak,ak10648915,1359764038000
2013-02-01T20:47:40.100+00:00,36.789,-122.081,4.4,2.6,Md,,176,,,nc,nc71933366,1359790080523
2013-02-01T19:59:32.000+00:00,62.194,-148.390,23.8,1.6,Ml,,130,,,ak,ak10648847,1359749361960
2013-02-01T19:59:13.800+00:00,38.799,-122.792,3.5,2.2,Md,,43,,,nc,nc71933311,1359762671144
2013-02-01T19:54:08.400+00:00,37.410,-118.601,11.3,1.5,Md,,86,,,nc,nc71933306,1359749230164
2013-02-01T19:40:23.313+00:00,36.537,-116.461,6.3,1.6,ml,,90,,,nn,nn00401515,1359762814096
2013-02-01T19:33:18.400+00:00,36.178,-118.015,8.8,1.7,Ml,,194,,,ci,ci15280025,1359747370006
2013-02-01T19:32:26.000+00:00,62.032,-149.871,39.7,2.0,Ml,,205,,,ak,ak10648773,1359748123573
2013-02-01T19:23:49.000+00:00,63.217,-149.001,1.5,1.4,Ml,,122,,,ak,ak10648770,1359747031401
2013-02-01T19:22:30.200+00:00,35.647,-120.936,5.5,1.3,Md,,65,,,nc,nc71933281,1359747371540
2013-02-01T19:22:18.200+00:00,33.794,-116.080,2.6,1.6,Ml,,58,,,ci,ci15280017,1359746696984
2013-02-01T18:55:42.600+00:00,33.922,-116.391,7.1,1.5,Ml,,302,,,ci,ci15280009,1359768430871
2013-02-01T18:55:19.000+00:00,61.873,-150.654,34.0,2.0,Ml,,50,,,ak,ak10648751,1359745536621
2013-02-01T18:42:59.000+00:00,62.150,-147.883,39.7,1.5,Ml,,,,,ak,ak10648745,1359744310001
2013-02-01T18:23:06.010+00:00,42.868,142.792,131.0,4.6,mb,,45,,,us,usc000ezq1,1359747701482
2013-02-01T18:13:43.300+00:00,37.407,-118.603,12.2,2.1,Md,,90,,,nc,nc71933226,1359760747417
2013-02-01T18:05:08.200+00:00,33.178,-116.042,5.1,1.4,Ml,,115,,,ci,ci15279993,1359758433346
2013-02-01T18:04:10.270+00:00,-6.843,129.557,156.1,4.4,mb,,62,,,us,usc000ezps,1359745791031
2013-02-01T17:55:34.200+00:00,47.878,-121.655,11.2,1.2,Md,,112,,,uw,uw60504056,1359752603969
2013-02-01T17:41:20.500+00:00,47.710,-120.184,0.6,1.7,Md,,130,,,uw,uw60504041,1359752874489
2013-02-01T17:34:51.900+00:00,33.176,-116.044,3.6,1.3,Ml,,144,,,ci,ci15279985,1359757874593
